ID,poi shape,poi_type,coordinate,longitude,latitude
1709,Point,information," 18.984414, 47.57498 ",18.984414,47.57498
1717,Point,information," 19.001023, 47.580879 ",19.001023,47.580879
1721,Point,information," 19.042538, 47.574797 ",19.042538,47.574797
1722,Point,information," 19.038596, 47.577537 ",19.038596,47.577537
1723,Point,information," 19.036308, 47.579744 ",19.036308,47.579744
1724,Point,information," 19.042195, 47.576499 ",19.042195,47.576499
1725,Point,information," 19.045038, 47.566996 ",19.045038,47.566996
1726,Point,information," 18.9792755, 47.6220956 ",18.9792755,47.6220956
1736,Point,information," 19.0454021, 47.5416447 ",19.0454021,47.5416447
1737,Point,information," 19.211196, 47.620223 ",19.211196,47.620223
1738,Point,information," 19.211, 47.626 ",19.211,47.626
1739,Point,information," 19.20795, 47.623833 ",19.20795,47.623833
1740,Point,information," 19.215067, 47.621817 ",19.215067,47.621817
1741,Point,information," 19.217467, 47.6221 ",19.217467,47.6221
1742,Point,information," 19.220267, 47.620583 ",19.220267,47.620583
1743,Point,information," 19.219217, 47.622383 ",19.219217,47.622383
1744,Point,information," 19.21645, 47.622733 ",19.21645,47.622733
